0,4.6875,2.207054969,0.452794504,1.077548355,1.067456459
0.001,7.410714286,2.656908835,0.021324151,0.442172056,0.368960435
0.01,5.625,2.230086682,0.000193915,0.014988362,0.007336312
0.02,12.08333333,2.200409641,0.003348812,0.038053916,0.018299471
0.03,2.083333333,2.389927042,0.00163072,0.046433043,0.027752387
0.04,9.270833333,2.534639516,0.00866993,0.162678718,0.097047671
0.05,8.125,2.285203478,0.000174127,0.006789,0.0024857
0.06,3.541666667,4.233746392,0.032018168,0.38582475,0.244008595
0.07,8.541666667,8.245342395,0.014027279,0.479552745,0.381422582
0.08,15.625,4.379110358,0.004553586,0.318107234,0.232933
0.09,14.16666667,8.910083638,0.01678629,0.36383726,0.199568695
0.1,14.0625,8.847250944,0.00826482,0.253648826,0.162058173
0.2,14.0625,4.336408055,0.003307246,0.164465723,0.084523122
0.3,13.828125,4.717840049,0.005943014,0.174812155,0.07243183
0.4,10.9375,4.446201929,0.00414057,0.114392534,0.048634661
0.5,10.3125,3.372425469,0.012148138,0.136962726,0.070679131
0.6,9.875,3.290781584,0.00310547,0.163353176,0.072271166
0.7,12.34375,4.075733079,0.004896498,0.139939676,0.050706452
0.8,9.375,4.36676461,0.009354464,0.131664486,0.055072316
0.9,12.5,2.738988957,0.001479071,0.167926713,0.138072557
0.99,11.45833333,4.173912008,0.003823769,0.137128813,0.050250097
0.999,9.84375,3.97557462,0.002760899,0.10852421,0.043731023
1,10.3125,3.802634265,0.005330948,0.154981,0.064135444